Predicted,Actual
179.73073,152.37
162.55852,177.77
174.02579,169.68
165.29144,184.92
182.11267,187.44
180.78006,230.54
174.98218,172.07
177.85492,125.07
174.68942,148.79
153.20123,148.31
176.21362,214.29
168.19977,143.21
172.44218,143.75
172.40755,176.3
182.13858,170.85
155.39233,168.82
164.91595,168.84
164.49533,171.37
159.2334,152.95
174.36035,181.18
158.21127,132.23
166.39684,141.66
173.6456,189.87
167.27672,186.19
178.9831,175.04
152.6212,154.51
175.70963,189.77
181.60309,186.86
165.5781,191.17
163.98703,126.36
158.386,174.2
181.63828,182.89
166.94083,172.99
181.9158,180.19
180.37903,138.38
170.33672,173.44
177.73926,185.56
179.59468,180.57
161.96931,149.84
181.6144,207.49
170.40277,225.01
169.22034,176.08
175.83789,189.95
164.26682,148.47
159.43726,143.78
177.401,183.31
180.15009,194.71
165.27571,134.87
181.67479,189.69
167.13623,160.62
178.01062,195.89
164.51457,144.49
167.92668,150.72
170.63792,217.49
157.15088,174.72
166.06554,147.92
159.52882,152.34
172.80336,148.48
166.63985,178.85
163.30528,181.91
161.19417,166.17
178.23312,178.67
174.61989,184.4
167.6747,193.13
180.401,144.87
160.40448,182.91
178.25443,171.52
179.8161,178.67
174.82773,168.45
173.21294,181.18
180.56924,210.62
159.18985,174.31
173.88196,165.02
172.05666,181.82
175.3961,171.13
179.52351,193.42
164.35135,171.52
174.98833,130.15
163.66791,159.3
169.66681,181.18
173.8898,154.48
173.5615,157.22
181.7683,193.73
179.26826,178.99
149.5267,150.77
151.11569,137.59
160.731,138.38
179.60927,184.25
159.3634,151.01
165.40247,181.99
175.77295,183.38
179.71916,173.23
181.29022,180.19
151.05428,148.71
174.57903,189.72
159.03917,130.73
150.48419,142.56
178.59467,189.59
157.38171,148.03
163.72049,148.5
171.89893,144.87
172.34123,152.34
154.92268,152.74
164.69061,173.03
170.73265,142.45
175.91794,187.68
166.30865,147.11
149.96823,156.57
181.589,186.01
174.90341,162.36
179.87965,224.31
165.38782,183.31
169.50496,185.01
172.96788,194.03
180.15405,196.94
160.91727,173.97
169.86038,172.14
165.98952,189.71
177.95029,173.93
173.95905,178.18
151.90172,162.88
169.82266,192.32
163.3078,171.21
161.63095,148.28
179.64857,165.84
156.41374,154.73
168.69406,195.71
166.19203,198.11
178.50833,175.1
166.83966,138.88
176.51752,165.02
157.37506,187.43
172.1351,179.21
181.32916,183.05
155.29855,155.35
158.28738,138.92
150.468,136.72
163.10345,143.96
181.55792,163.43
178.38277,142.16
161.95778,146.1
157.62404,144.22
182.30008,185.64
180.20016,144.29
176.16025,186.4
152.81319,166.42
177.6343,163.76
161.81067,142.16
153.72118,149.84
160.3303,145.31
172.70287,173.31
171.13245,139.5
155.3004,177.77
170.39278,191.24
174.54335,197.57
168.50084,150.43
177.05498,177.82
177.16869,195.89
177.42863,179.23
172.95976,189.59
160.14165,160.62
160.64175,191.33
164.72412,138.38
152.16136,153.34
151.02289,150.7
178.05617,186.19
164.62039,169.58
176.88577,187.0
181.26517,224.18
160.75842,162.95
169.42978,149.4
178.79497,153.83
165.00165,142.16
177.86627,216.67
151.45657,154.53
170.39844,147.81
176.5367,189.99
157.63737,177.77
156.83647,139.23
180.31332,154.09
180.10019,188.08
169.1045,176.08
166.34242,147.92
162.50095,183.31
154.4343,135.35
167.40512,177.45
177.59464,183.05
156.50534,166.17
179.8836,172.75
177.32805,191.04
173.6585,180.95
163.11694,149.84
180.63806,179.46
173.4313,173.75
181.13644,192.46
175.86469,134.87
179.41298,181.71
181.31427,186.28
178.74113,181.56
182.11946,189.79
165.57375,129.93
173.40446,175.1
169.67342,168.82
159.23094,150.72
173.73318,183.96
170.08655,153.85
160.61493,164.66
169.72128,176.3
162.16516,162.88
160.35892,191.29
175.39717,144.8
176.76755,194.27
169.31337,173.57
176.24193,193.42
162.8147,181.82
161.86896,195.89
173.23685,174.2
158.38896,168.82
165.18898,130.73
154.39734,166.42
158.79645,145.43
153.23157,137.13
162.43228,179.58
157.25519,137.13
178.36526,234.82
157.68507,188.04
167.35464,153.72
175.2883,176.3
166.58484,151.0
180.9027,227.57
182.15077,185.64
177.95178,168.45
171.05237,177.97
170.6228,170.12
160.15686,135.43
176.13837,216.75
169.70021,173.31
174.9656,191.33
151.10242,165.07
178.7352,138.38
164.29254,129.61
177.66391,151.6
177.94435,194.68
172.37863,173.31
152.95816,161.79
181.05835,169.65
176.33878,170.69
176.967,197.96
175.73447,165.21
180.64107,158.91
173.8151,190.9
177.3437,185.64
158.64157,171.56
177.76178,166.17
178.71114,148.11
162.5971,175.6
180.81349,185.85
155.4559,165.38
177.37364,216.67
178.69511,196.89
153.56671,157.96
173.62805,125.07
174.85092,157.83
171.0541,169.67
162.2605,181.99
160.18219,130.03
179.08417,176.57
179.32187,190.29
162.42982,141.11
159.7732,166.17
161.1697,171.83
161.53891,129.61
162.06595,170.43
168.86133,173.75
170.60526,139.5
171.06143,190.4
154.64552,139.23
167.07205,169.38
163.927,145.49
177.8936,188.32
180.1908,214.1
153.43047,135.27
173.5998,158.28
175.51418,183.86
155.57687,146.35
157.76303,142.48
157.8629,162.95
173.22424,156.79
156.66313,143.11
172.38339,147.41
167.5403,186.28
160.16754,153.84
154.62695,148.71
156.88861,159.3
173.51196,143.0
161.19003,158.52
155.607,155.96
164.61418,153.2
180.6859,194.68
166.20752,192.42
175.7514,195.71
181.24194,153.04
155.37558,141.56
172.99658,172.07
178.2322,189.87
176.73436,147.92
158.672,140.82
152.35382,174.61
174.16406,142.91
171.00722,166.89
179.33725,169.38
177.3128,147.41
181.5911,186.19
174.2168,173.5
