Date,Predicted,Actual
2023-09-24,187.21648,176.08
2023-09-23,169.0286,176.08
2023-09-17,186.55386,177.97
2023-09-16,187.42908,177.97
2023-09-10,179.34814,179.36
2023-09-09,184.4367,179.36
2023-09-04,180.47577,189.7
2023-09-03,181.65213,189.7
2023-09-02,179.5669,189.7
2023-08-27,182.03458,180.19
2023-08-26,162.21326,180.19
2023-08-20,186.46573,175.84
2023-08-19,186.84148,175.84
2023-08-13,186.10901,179.46
2023-08-12,182.57358,179.46
2023-08-06,186.16953,178.85
2023-08-05,183.33841,178.85
2023-07-30,187.39954,196.45
2023-07-29,183.37112,196.45
2023-07-23,186.21333,192.75
2023-07-22,178.3754,192.75
2023-07-16,187.54694,193.99
2023-07-15,136.71135,193.99
2023-07-09,180.3035,188.61
2023-07-08,185.854,188.61
2023-07-04,180.07092,191.33
2023-07-02,186.8945,192.46
2023-07-01,157.69673,192.46
2023-06-25,186.6799,185.27
2023-06-24,183.95917,185.27
2023-06-19,185.63358,185.01
2023-06-18,181.75967,185.01
2023-06-17,181.46712,185.01
2023-06-11,185.85019,183.79
2023-06-10,172.1516,183.79
2023-06-04,163.0455,179.58
2023-06-03,178.88383,179.58
2023-05-29,180.81233,177.3
2023-05-28,187.50438,177.3
2023-05-27,176.89883,177.3
2023-05-21,185.5607,174.2
2023-05-20,180.76239,174.2
2023-05-14,181.45493,172.07
2023-05-13,166.65837,172.07
2023-05-07,179.64954,173.5
2023-05-06,184.34477,173.5
2023-04-30,176.42053,169.59
2023-04-29,175.6232,169.59
2023-04-23,175.70305,165.33
2023-04-22,174.57065,165.33
2023-04-16,184.25519,165.23
2023-04-15,162.76767,165.23
2023-04-09,187.00449,162.03
2023-04-08,186.95868,162.03
2023-04-07,162.00446,162.03
2023-04-02,171.62497,166.17
2023-04-01,185.65337,166.17
2023-03-26,187.75493,158.28
2023-03-25,162.05911,158.28
2023-03-19,187.14131,157.4
2023-03-18,187.47879,157.4
2023-03-12,188.12933,150.47
2023-03-11,185.32452,150.47
2023-03-05,177.78928,153.83
2023-03-04,156.05316,153.83
2023-02-26,167.91028,147.92
2023-02-25,183.97131,147.92
2023-02-20,185.20929,148.48
2023-02-19,177.35574,148.48
2023-02-18,171.01602,148.48
2023-02-12,186.19939,153.85
2023-02-11,176.74995,153.85
2023-02-05,168.25478,151.73
2023-02-04,172.84488,151.73
2023-01-29,171.45575,143.0
2023-01-28,175.58664,143.0
2023-01-22,181.3748,141.11
2023-01-21,183.53717,141.11
2023-01-16,158.32645,135.94
2023-01-15,178.88423,135.94
2023-01-14,179.7564,135.94
2023-01-08,179.09084,130.15
2023-01-07,180.51125,130.15
2023-01-02,180.74222,125.07
2023-01-01,186.16492,125.07
2022-12-31,176.74184,125.07
2022-12-26,165.1342,130.03
2022-12-25,184.90164,130.03
2022-12-24,164.09912,130.03
2022-12-18,176.92267,132.37
2022-12-17,174.28552,132.37
2022-12-11,159.63324,144.49
2022-12-10,182.7078,144.49
2022-12-04,186.77322,146.63
2022-12-03,171.22577,146.63
2022-11-27,174.33989,144.22
2022-11-26,165.50662,144.22
2022-11-24,160.80626,148.11
2022-11-20,183.97665,148.01
2022-11-19,170.71262,148.01
2022-11-13,177.27039,148.28
2022-11-12,163.65817,148.28
2022-11-06,186.07292,138.92
2022-11-05,174.67589,138.92
2022-10-30,178.06323,153.34
2022-10-29,173.88411,153.34
2022-10-23,142.77441,149.45
2022-10-22,178.0387,149.45
2022-10-16,164.17441,142.41
2022-10-15,173.68362,142.41
2022-10-09,185.51923,140.42
2022-10-08,185.60997,140.42
2022-10-02,176.91502,142.45
2022-10-01,182.83801,142.45
2022-09-25,177.8621,150.77
2022-09-24,154.02637,150.77
2022-09-18,158.42145,154.48
2022-09-17,178.25636,154.48
2022-09-11,172.96724,163.43
2022-09-10,165.64784,163.43
2022-09-05,184.86407,154.53
2022-09-04,174.29346,154.53
2022-09-03,179.61734,154.53
2022-08-28,184.0629,161.38
2022-08-27,179.62991,161.38
2022-08-21,166.39005,167.57
2022-08-20,178.03917,167.57
2022-08-14,180.66547,173.19
2022-08-13,182.16489,173.19
2022-08-07,175.34164,164.87
2022-08-06,176.31816,164.87
2022-07-31,175.01144,161.51
2022-07-30,171.63702,161.51
2022-07-24,179.57152,152.95
2022-07-23,172.75615,152.95
2022-07-17,187.13716,147.07
2022-07-16,178.48375,147.07
2022-07-10,181.11577,144.87
2022-07-09,157.26523,144.87
2022-07-04,177.27863,141.56
2022-07-03,160.40753,141.56
2022-07-02,152.45601,141.56
2022-06-26,182.48285,141.66
2022-06-25,146.79654,141.66
2022-06-20,175.31454,135.87
2022-06-19,178.45181,135.87
2022-06-18,158.61188,135.87
2022-06-12,166.17276,131.88
2022-06-11,151.89645,131.88
2022-06-05,168.24701,146.14
2022-06-04,159.27692,146.14
2022-05-30,176.07803,148.84
2022-05-29,170.50554,148.84
2022-05-28,155.37555,148.84
2022-05-22,173.98056,143.11
2022-05-21,158.17447,143.11
2022-05-15,155.71977,145.54
2022-05-14,148.28035,145.54
2022-05-08,160.13684,152.06
2022-05-07,177.85806,152.06
2022-05-01,155.08405,157.96
2022-04-30,149.48297,157.96
2022-04-24,174.93457,162.88
2022-04-23,155.18213,162.88
2022-04-17,180.71136,165.07
2022-04-16,117.32735,165.07
2022-04-15,135.13947,165.07
2022-04-10,151.32198,165.75
2022-04-09,144.86841,165.75
2022-04-03,162.45233,178.44
2022-04-02,139.97662,178.44
2022-03-27,176.2349,175.6
2022-03-26,183.01805,175.6
2022-03-20,163.18651,165.38
2022-03-19,178.034,165.38
2022-03-12,141.59024,150.62
2022-03-06,173.59259,159.3
2022-03-05,170.08658,159.3
